INFO 2012-01-18 15:37:10,160 119820958034073: Imported successfully as Prince of Peace Roman Catholic Church
INFO 2012-01-18 15:37:10,170 104910059553010: Imported successfully as Saint John Vianney Parish
INFO 2012-01-18 15:37:10,177 108167689225619: Imported successfully as Lutheran Church
INFO 2012-01-18 15:37:10,184 128349150544158: Imported successfully as Alta Villa Spa & Salon
INFO 2012-01-18 15:37:10,191 156413744405900: Imported successfully as Gateway Center
INFO 2012-01-18 15:37:10,199 131854533549683: Imported successfully as George L. Wilson Co.
INFO 2012-01-18 15:37:10,207 156705681012849: Imported successfully as Giant Eagle
INFO 2012-01-18 15:37:10,214 159087057460580: Imported successfully as U.S. Army Medical Recruiting Company- Pittsburgh, PA
INFO 2012-01-18 15:37:10,246 199313473438118: Imported successfully as Hogwarts
INFO 2012-01-18 15:37:10,254 117145308386861: Imported successfully as The Andy Warhol Museum
INFO 2012-01-18 15:37:10,261 135481663163004: Imported successfully as Young Brothers Taekwondo
INFO 2012-01-18 15:37:10,268 125817690802036: Imported successfully as Homeeeee:)
INFO 2012-01-18 15:37:10,275 116314358392567: Imported successfully as St Norbert Church Hall
INFO 2012-01-18 15:37:10,283 156087634414879: Imported successfully as Primanti Brothers South Side
INFO 2012-01-18 15:37:10,292 149551051777483: Imported successfully as Greentree Chiropractic & Rehab
INFO 2012-01-18 15:37:10,331 211102258952503: Imported successfully as Park Valley
INFO 2012-01-18 15:37:10,363 111543832218543: Imported successfully as Bill Ogden's Weight Room
INFO 2012-01-18 15:37:10,396 128037463962845: Imported successfully as Le Mont
INFO 2012-01-18 15:37:10,406 295713288322: Imported successfully as Three Rivers Rowing Association
INFO 2012-01-18 15:37:10,413 111528055554226: Imported successfully as Sharp Edge Beer Emporium
INFO 2012-01-18 15:37:10,419 137957389592481: Imported successfully as Platinum Fitness Center
INFO 2012-01-18 15:37:10,440 159333017472651: Imported successfully as Catholic Charities Free Health Care Center
INFO 2012-01-18 15:37:10,448 112053765543023: Imported successfully as Volunteers field
INFO 2012-01-18 15:37:10,455 139601679411217: Imported successfully as Schiller Classical Academy
INFO 2012-01-18 15:37:10,462 165488413477643: Imported successfully as Star Nails
INFO 2012-01-18 15:37:10,469 174055605975383: Imported successfully as Papa John's Pizza
INFO 2012-01-18 15:37:10,475 204366979592443: Imported successfully as The Briccs
INFO 2012-01-18 15:37:10,483 143902075669173: Imported successfully as Laborers local 1058
INFO 2012-01-18 15:37:10,492 143946358972255: Imported successfully as Kuttin Up At Hair Haven
INFO 2012-01-18 15:37:10,515 121548681192225: Imported successfully as Bidwell Training Center Inc
INFO 2012-01-18 15:37:10,524 222367011172478: Imported successfully as Noodles &  Company
INFO 2012-01-18 15:37:10,532 208333865846043: Imported successfully as WSF Steel City Championship
INFO 2012-01-18 15:37:10,565 264825216905686: Imported successfully as Pirates Fest 2012
INFO 2012-01-18 15:37:10,571 158107324209529: Imported successfully as Cory's Subs
INFO 2012-01-18 15:37:10,610 140774012658498: Imported successfully as Young Filthy
INFO 2012-01-18 15:37:10,617 116952831652060: Imported successfully as Project Destiny, Inc
INFO 2012-01-18 15:37:10,625 284282578254169: Imported successfully as Point Park Students for Justice in Palestine
INFO 2012-01-18 15:37:10,688 205601699478804: Imported successfully as Langley High School
INFO 2012-01-18 15:37:10,732 157385354281155: Imported successfully as Sonitrol Security Systems, Leader in Verified Loss Prevention
INFO 2012-01-18 15:37:10,740 121706124507038: Imported successfully as Zagari Frank
INFO 2012-01-18 15:37:10,748 178259438875720: Imported successfully as Wm. Penn Tavern
INFO 2012-01-18 15:37:10,754 124043977643682: Imported successfully as Nagley A Plus
INFO 2012-01-18 15:37:10,762 142071665828814: Imported successfully as Learning Research & Development Center (LRDC)
INFO 2012-01-18 15:37:10,769 194029710677038: Imported successfully as Duquesne Incline
INFO 2012-01-18 15:37:10,796 112102898865189: Imported successfully as Duquesne University Starbucks
INFO 2012-01-18 15:37:10,803 100896659954827: Imported successfully as Y M C A
INFO 2012-01-18 15:37:10,812 177483835622113: Imported successfully as Pop Art Pop-Tarts
INFO 2012-01-18 15:37:10,820 152429198108576: Imported successfully as Le Pommier
INFO 2012-01-18 15:37:10,829 120579141288608: Imported successfully as Joseph Bruno DBA CS Kim Karate
INFO 2012-01-18 15:37:10,883 130802130287924: Imported successfully as Pittsburgh Central Catholic High School
INFO 2012-01-18 15:37:10,890 117017621651427: Imported successfully as Palazzo Ristorante
INFO 2012-01-18 15:37:10,898 123974537658273: Imported successfully as Pizza Vesuvio
INFO 2012-01-18 15:37:10,904 171167346270256: Imported successfully as In Bed ^-^
INFO 2012-01-18 15:37:10,911 150658244946024: Imported successfully as Chartier Valley High School
INFO 2012-01-18 15:37:10,921 121587861185220: Imported successfully as Q & M's Fish Chilk and Ribs
INFO 2012-01-18 15:37:10,935 270567764926: Imported successfully as Phantom of the Attic Comics (Oakland)
INFO 2012-01-18 15:37:10,941 39206713055: Imported successfully as Pittsburgh Mom
