INFO 2012-01-18 22:25:04,803 Importing events for Facebook page 111543832218543
INFO 2012-01-18 22:25:04,803 Importing events for Facebook page 128037463962845
INFO 2012-01-18 22:25:04,803 Importing events for Facebook page 295713288322
INFO 2012-01-18 22:25:04,803 Importing events for Facebook page 111528055554226
INFO 2012-01-18 22:25:04,803 Importing events for Facebook page 137957389592481
INFO 2012-01-18 22:25:04,803 Importing events for Facebook page 159333017472651
INFO 2012-01-18 22:25:04,804 Importing events for Facebook page 112053765543023
INFO 2012-01-18 22:25:04,804 Importing events for Facebook page 139601679411217
INFO 2012-01-18 22:25:04,804 Importing events for Facebook page 165488413477643
INFO 2012-01-18 22:25:04,804 Importing events for Facebook page 174055605975383
INFO 2012-01-18 22:25:04,804 Importing events for Facebook page 204366979592443
INFO 2012-01-18 22:25:04,804 Importing events for Facebook page 143902075669173
INFO 2012-01-18 22:25:04,804 Importing events for Facebook page 143946358972255
INFO 2012-01-18 22:25:04,805 Importing events for Facebook page 121548681192225
INFO 2012-01-18 22:25:04,815 Importing events for Facebook page 222367011172478
INFO 2012-01-18 22:25:04,815 Importing events for Facebook page 208333865846043
INFO 2012-01-18 22:25:04,815 Importing events for Facebook page 264825216905686
INFO 2012-01-18 22:25:04,816 Importing events for Facebook page 158107324209529
INFO 2012-01-18 22:25:04,816 Importing events for Facebook page 140774012658498
INFO 2012-01-18 22:25:04,816 Importing events for Facebook page 116952831652060
INFO 2012-01-18 22:25:04,816 Importing events for Facebook page 284282578254169
INFO 2012-01-18 22:25:04,817 Importing events for Facebook page 205601699478804
INFO 2012-01-18 22:25:04,817 Importing events for Facebook page 157385354281155
INFO 2012-01-18 22:25:04,817 Importing events for Facebook page 121706124507038
INFO 2012-01-18 22:25:04,817 Importing events for Facebook page 178259438875720
INFO 2012-01-18 22:25:04,818 Importing events for Facebook page 124043977643682
INFO 2012-01-18 22:25:04,818 Importing events for Facebook page 142071665828814
INFO 2012-01-18 22:25:04,818 Importing events for Facebook page 194029710677038
INFO 2012-01-18 22:25:04,818 Importing events for Facebook page 112102898865189
INFO 2012-01-18 22:25:04,819 Importing events for Facebook page 100896659954827
INFO 2012-01-18 22:25:04,819 Importing events for Facebook page 177483835622113
INFO 2012-01-18 22:25:04,819 Importing events for Facebook page 152429198108576
INFO 2012-01-18 22:25:04,820 Importing events for Facebook page 120579141288608
INFO 2012-01-18 22:25:04,820 Importing events for Facebook page 130802130287924
INFO 2012-01-18 22:25:04,820 Importing events for Facebook page 117017621651427
INFO 2012-01-18 22:25:04,820 Importing events for Facebook page 123974537658273
INFO 2012-01-18 22:25:04,821 Importing events for Facebook page 171167346270256
INFO 2012-01-18 22:25:04,821 Importing events for Facebook page 150658244946024
INFO 2012-01-18 22:25:04,821 Importing events for Facebook page 121587861185220
INFO 2012-01-18 22:25:04,821 Importing events for Facebook page 270567764926
INFO 2012-01-18 22:25:04,822 Importing events for Facebook page 39206713055
INFO 2012-01-18 22:25:05,909 Importing events for Facebook page 91482879432
ERROR 2012-01-18 22:25:05,910 303734866315202: 'role_type' is an invalid keyword argument for this function
INFO 2012-01-18 22:25:05,910 Importing events for Facebook page 244537765564447
INFO 2012-01-18 22:25:05,911 Importing events for Facebook page 245038728870733
INFO 2012-01-18 22:25:05,911 Importing events for Facebook page 157965117579095
INFO 2012-01-18 22:25:05,911 Importing events for Facebook page 131681100224615
INFO 2012-01-18 22:25:05,911 Importing events for Facebook page 114137681950447
INFO 2012-01-18 22:25:05,912 Importing events for Facebook page 126059594135160
INFO 2012-01-18 22:25:05,912 Importing events for Facebook page 148612675156925
INFO 2012-01-18 22:25:05,912 Importing events for Facebook page 262676364346
INFO 2012-01-18 22:25:05,912 Importing events for Facebook page 110107962387825
INFO 2012-01-18 22:25:05,913 Importing events for Facebook page 147599408653828
INFO 2012-01-18 22:25:05,913 Importing events for Facebook page 328690830062
INFO 2012-01-18 22:25:05,913 Importing events for Facebook page 100493556677912
INFO 2012-01-18 22:25:05,913 Importing events for Facebook page 135963609830092
INFO 2012-01-18 22:25:05,913 Importing events for Facebook page 104907179552404
INFO 2012-01-18 22:25:15,417 Importing events for Facebook page 115642488458218
ERROR 2012-01-18 22:25:15,418 183531365075946: 'role_type' is an invalid keyword argument for this function
ERROR 2012-01-18 22:25:15,418 308827545807447: 'role_type' is an invalid keyword argument for this function
ERROR 2012-01-18 22:25:15,418 256355974426932: 'role_type' is an invalid keyword argument for this function
ERROR 2012-01-18 22:25:15,418 174410119323071: 'role_type' is an invalid keyword argument for this function
ERROR 2012-01-18 22:25:15,418 208922962523211: 'role_type' is an invalid keyword argument for this function
ERROR 2012-01-18 22:25:15,418 318615548156804: 'role_type' is an invalid keyword argument for this function
ERROR 2012-01-18 22:25:15,418 257575354304925: 'role_type' is an invalid keyword argument for this function
ERROR 2012-01-18 22:25:15,419 160532224048213: 'role_type' is an invalid keyword argument for this function
ERROR 2012-01-18 22:25:15,419 262682093793074: 'role_type' is an invalid keyword argument for this function
ERROR 2012-01-18 22:25:15,419 204545102964787: 'role_type' is an invalid keyword argument for this function
ERROR 2012-01-18 22:25:15,419 198868286868000: 'role_type' is an invalid keyword argument for this function
ERROR 2012-01-18 22:25:15,419 267234993334078: 'role_type' is an invalid keyword argument for this function
INFO 2012-01-18 22:25:15,419 Importing events for Facebook page 120903937922354
INFO 2012-01-18 22:25:15,419 Importing events for Facebook page 120824514599442
INFO 2012-01-18 22:25:15,419 Importing events for Facebook page 140433432673068
